City, Time, Temperature, Condition
Gdansk, 2023-03-25 00:00:00, 7.09, clear sky
Gdansk, 2023-03-25 03:00:00, 6.95, few clouds
Gdansk, 2023-03-25 06:00:00, 6.84, few clouds
Gdansk, 2023-03-25 09:00:00, 10.4, broken clouds
Gdansk, 2023-03-25 12:00:00, 8.57, light rain
Gdansk, 2023-03-25 15:00:00, 7.22, light rain
Gdansk, 2023-03-25 18:00:00, 7.01, light rain
Gdansk, 2023-03-25 21:00:00, 5.98, light rain
Gdansk, 2023-03-26 00:00:00, 6.38, light rain
Gdansk, 2023-03-26 03:00:00, 6.31, light rain
Gdansk, 2023-03-26 06:00:00, 5.88, light rain
Gdansk, 2023-03-26 09:00:00, 6.1, light rain
Gdansk, 2023-03-26 12:00:00, 7.99, broken clouds
Gdansk, 2023-03-26 15:00:00, 6.78, few clouds
Gdansk, 2023-03-26 18:00:00, 3.91, few clouds
Gdansk, 2023-03-26 21:00:00, 2.43, broken clouds
Gdansk, 2023-03-27 00:00:00, 1.77, broken clouds
Gdansk, 2023-03-27 03:00:00, 2.05, overcast clouds
Gdansk, 2023-03-27 06:00:00, 0.63, light snow
Gdansk, 2023-03-27 09:00:00, 1.08, light snow
Gdansk, 2023-03-27 12:00:00, 1.95, overcast clouds
Gdansk, 2023-03-27 15:00:00, 1.48, overcast clouds
Gdansk, 2023-03-27 18:00:00, -0.31, overcast clouds
Gdansk, 2023-03-27 21:00:00, -0.61, light snow
Gdansk, 2023-03-28 00:00:00, -0.42, scattered clouds
Gdansk, 2023-03-28 03:00:00, -0.68, scattered clouds
Gdansk, 2023-03-28 06:00:00, -0.2, broken clouds
Gdansk, 2023-03-28 09:00:00, 1.66, scattered clouds
Gdansk, 2023-03-28 12:00:00, 2.31, scattered clouds
Gdansk, 2023-03-28 15:00:00, 2.53, overcast clouds
Gdansk, 2023-03-28 18:00:00, 1.48, overcast clouds
Gdansk, 2023-03-28 21:00:00, 0.7, overcast clouds
Gdansk, 2023-03-29 00:00:00, -0.42, broken clouds
Gdansk, 2023-03-29 03:00:00, -0.69, clear sky
Gdansk, 2023-03-29 06:00:00, 0.42, clear sky
Gdansk, 2023-03-29 09:00:00, 3.24, broken clouds
Gdansk, 2023-03-29 12:00:00, 4.66, broken clouds
Gdansk, 2023-03-29 15:00:00, 2.13, overcast clouds
Gdansk, 2023-03-29 18:00:00, 0.77, light snow
Gdansk, 2023-03-29 21:00:00, -0.56, light snow
Gdansk, 2023-03-25 00:00:00, 7.09, clear sky
Gdansk, 2023-03-25 03:00:00, 6.95, few clouds
Gdansk, 2023-03-25 06:00:00, 6.84, few clouds
Gdansk, 2023-03-25 09:00:00, 10.4, broken clouds
Gdansk, 2023-03-25 12:00:00, 8.57, light rain
Gdansk, 2023-03-25 15:00:00, 7.22, light rain
Gdansk, 2023-03-25 18:00:00, 7.01, light rain
Gdansk, 2023-03-25 21:00:00, 5.98, light rain
Gdansk, 2023-03-26 00:00:00, 6.38, light rain
Gdansk, 2023-03-26 03:00:00, 6.31, light rain
Gdansk, 2023-03-26 06:00:00, 5.88, light rain
Gdansk, 2023-03-26 09:00:00, 6.1, light rain
Gdansk, 2023-03-26 12:00:00, 7.99, broken clouds
Gdansk, 2023-03-26 15:00:00, 6.78, few clouds
Gdansk, 2023-03-26 18:00:00, 3.91, few clouds
Gdansk, 2023-03-26 21:00:00, 2.43, broken clouds
Gdansk, 2023-03-27 00:00:00, 1.77, broken clouds
Gdansk, 2023-03-27 03:00:00, 2.05, overcast clouds
Gdansk, 2023-03-27 06:00:00, 0.63, light snow
Gdansk, 2023-03-27 09:00:00, 1.08, light snow
Gdansk, 2023-03-27 12:00:00, 1.95, overcast clouds
Gdansk, 2023-03-27 15:00:00, 1.48, overcast clouds
Gdansk, 2023-03-27 18:00:00, -0.31, overcast clouds
Gdansk, 2023-03-27 21:00:00, -0.61, light snow
Gdansk, 2023-03-28 00:00:00, -0.42, scattered clouds
Gdansk, 2023-03-28 03:00:00, -0.68, scattered clouds
Gdansk, 2023-03-28 06:00:00, -0.2, broken clouds
Gdansk, 2023-03-28 09:00:00, 1.66, scattered clouds
Gdansk, 2023-03-28 12:00:00, 2.31, scattered clouds
Gdansk, 2023-03-28 15:00:00, 2.53, overcast clouds
Gdansk, 2023-03-28 18:00:00, 1.48, overcast clouds
Gdansk, 2023-03-28 21:00:00, 0.7, overcast clouds
Gdansk, 2023-03-29 00:00:00, -0.42, broken clouds
Gdansk, 2023-03-29 03:00:00, -0.69, clear sky
Gdansk, 2023-03-29 06:00:00, 0.42, clear sky
Gdansk, 2023-03-29 09:00:00, 3.24, broken clouds
Gdansk, 2023-03-29 12:00:00, 4.66, broken clouds
Gdansk, 2023-03-29 15:00:00, 2.13, overcast clouds
Gdansk, 2023-03-29 18:00:00, 0.77, light snow
Gdansk, 2023-03-29 21:00:00, -0.56, light snow
Gdansk, 2023-03-28 21:00:00, 0.26, clear sky
Gdansk, 2023-03-29 00:00:00, -0.33, clear sky
Gdansk, 2023-03-29 03:00:00, -0.97, clear sky
Gdansk, 2023-03-29 06:00:00, 0.51, clear sky
Gdansk, 2023-03-29 09:00:00, 4.08, few clouds
Gdansk, 2023-03-29 12:00:00, 6.65, scattered clouds
Gdansk, 2023-03-29 15:00:00, 7.04, overcast clouds
Gdansk, 2023-03-29 18:00:00, 3.85, overcast clouds
Gdansk, 2023-03-29 21:00:00, 2.84, overcast clouds
Gdansk, 2023-03-30 00:00:00, 3.72, overcast clouds
Gdansk, 2023-03-30 03:00:00, 3.07, overcast clouds
Gdansk, 2023-03-30 06:00:00, 4.04, overcast clouds
Gdansk, 2023-03-30 09:00:00, 7.72, overcast clouds
Gdansk, 2023-03-30 12:00:00, 6.02, light rain
Gdansk, 2023-03-30 15:00:00, 8.12, light rain
Gdansk, 2023-03-30 18:00:00, 8.22, light rain
Gdansk, 2023-03-30 21:00:00, 7.97, light rain
Gdansk, 2023-03-31 00:00:00, 7.24, broken clouds
Gdansk, 2023-03-31 03:00:00, 8.16, overcast clouds
Gdansk, 2023-03-31 06:00:00, 7.69, overcast clouds
Gdansk, 2023-03-31 09:00:00, 9.06, overcast clouds
Gdansk, 2023-03-31 12:00:00, 10.28, overcast clouds
Gdansk, 2023-03-31 15:00:00, 9.29, light rain
Gdansk, 2023-03-31 18:00:00, 6.03, overcast clouds
Gdansk, 2023-03-31 21:00:00, 4.09, overcast clouds
Gdansk, 2023-04-01 00:00:00, 2.87, overcast clouds
Gdansk, 2023-04-01 03:00:00, 3.2, overcast clouds
Gdansk, 2023-04-01 06:00:00, 3.34, overcast clouds
Gdansk, 2023-04-01 09:00:00, 3.43, overcast clouds
Gdansk, 2023-04-01 12:00:00, 3.08, overcast clouds
Gdansk, 2023-04-01 15:00:00, 3.11, overcast clouds
Gdansk, 2023-04-01 18:00:00, 2.75, overcast clouds
Gdansk, 2023-04-01 21:00:00, 2.53, overcast clouds
Gdansk, 2023-04-02 00:00:00, 2.23, overcast clouds
Gdansk, 2023-04-02 03:00:00, 2.14, overcast clouds
Gdansk, 2023-04-02 06:00:00, 1.92, overcast clouds
Gdansk, 2023-04-02 09:00:00, 1.71, light rain
Gdansk, 2023-04-02 12:00:00, 2.25, light snow
Gdansk, 2023-04-02 15:00:00, 2.32, light snow
Gdansk, 2023-04-02 18:00:00, 2.01, overcast clouds
Gdansk, 2023-03-28 21:00:00, 0.26, clear sky
Gdansk, 2023-03-29 00:00:00, -0.33, clear sky
Gdansk, 2023-03-29 03:00:00, -0.97, clear sky
Gdansk, 2023-03-29 06:00:00, 0.51, clear sky
